,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
14,16_signalRSGluon2500,fwd1bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd1bPassPDFup,16_signalRSGluon2500,g_{RS} (3 TeV),,Up,shapes,1.0,PDF,
15,16_signalRSGluon2500,fwd1bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd1bPassPDFdown,16_signalRSGluon2500,g_{RS} (3 TeV),,Down,shapes,1.0,PDF,
16,16_signalRSGluon2500,fwd1bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd1bPassJESup,16_signalRSGluon2500,g_{RS} (3 TeV),,Up,shapes,1.0,JES,
17,16_signalRSGluon2500,fwd1bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd1bPassJESdown,16_signalRSGluon2500,g_{RS} (3 TeV),,Down,shapes,1.0,JES,
18,16_signalRSGluon2500,fwd1bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd1bPassJERup,16_signalRSGluon2500,g_{RS} (3 TeV),,Up,shapes,1.0,JER,
19,16_signalRSGluon2500,fwd1bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd1bPassJERdown,16_signalRSGluon2500,g_{RS} (3 TeV),,Down,shapes,1.0,JER,
20,16_signalRSGluon2500,fwd1bPass,default,1,SIGNAL,1.0,nominal,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd1bPass,16_signalRSGluon2500,g_{RS} (3 TeV),,,,,,
21,16_TTbar,fwd1bPass,default,2,BKG,1.0,lumi,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_TTbar.root,MttvsMtfwd1bPass,16_TTbar,t#bar{t},,,lnN,,,1.018
22,16_TTbar,fwd1bPass,default,2,BKG,1.0,ttbar_xsec,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_TTbar.root,MttvsMtfwd1bPass,16_TTbar,t#bar{t},,,lnN,,,1.2
23,16_TTbar,fwd1bPass,default,2,BKG,1.0,pileup,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_TTbar.root,MttvsMtfwd1bPassPILEUPup,16_TTbar,t#bar{t},,Up,shapes,1.0,PILEUP,
